sku,name,price,qty,year,capacity,power,horsepower,engcode
631971.0,USA SPATE DREAPTA,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630660.0,JAGUAR X-TYPE 2.0D (74),0.00,1.00,2005,1998CC,96KW,130CP,SAJAH551156E65181
630536.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630661.0,BMW 320D 2.0 (77),0.00,1.00,2001,1951CC,100KW,136CP,WBAAL72080AK80730
630538.0,BARA FATA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630539.0,BARA FATA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630662.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630592.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630593.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630543.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630544.0,BARA FATA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630545.0,BARA FATA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630594.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630547.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630595.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630596.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630597.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630598.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
631013.0,MOTOR,1980.00,1.00,NULL,NULL,NULL,NULL,NULL
630667.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630601.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630602.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630603.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630604.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630605.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630606.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630608.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630609.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630610.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630611.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630612.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630613.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630569.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
631991.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630571.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630572.0,BARA FATA,800.00,1.00,NULL,NULL,NULL,NULL,NULL
630573.0,BARA FATA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630668.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630615.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630616.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630742.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630670.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630743.0,COMPRESOR CLIMA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630672.0,TURBO,700.00,1.00,NULL,NULL,NULL,NULL,NULL
630744.0,COMPRESOR CLIMA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630745.0,COMPRESOR CLIMA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630746.0,COMPRESOR CLIMA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630676.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630677.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630678.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630627.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630628.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630679.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630747.0,COMPRESOR CLIMA,400.00,1.00,2052,NULL,NULL,NULL,NULL
630631.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630681.0,TURBO,1350.00,1.00,NULL,NULL,NULL,NULL,NULL
630969.0,CAPOTA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630683.0,TURBO,650.00,1.00,NULL,NULL,NULL,NULL,NULL
630684.0,TURBO,650.00,1.00,NULL,NULL,NULL,NULL,NULL
630749.0,COMPRESOR CLIMA,350.00,1.00,2004,NULL,NULL,NULL,NULL
630750.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630751.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630752.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630640.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
631488.0,ARIPA SPATE DREAPTA,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630642.0,BARA SPATE,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630643.0,BARA SPATE,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630644.0,BARA SPATE,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630645.0,BARA SPATE,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630970.0,CAPOTA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630647.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630691.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630649.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630650.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630692.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630652.0,BARA SPATE,500.00,1.00,NULL,NULL,NULL,NULL,NULL
630653.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630693.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630694.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630696.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630697.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630698.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
631014.0,COMPRESOR CLIMA,550.00,1.00,NULL,NULL,NULL,NULL,NULL
630700.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630973.0,CAPOTA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630758.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630759.0,COMPRESOR CLIMA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630760.0,COMPRESOR CLIMA,500.00,1.00,NULL,NULL,NULL,NULL,NULL
630761.0,COMPRESOR CLIMA,550.00,1.00,NULL,NULL,NULL,NULL,NULL
630706.0,TURBO,750.00,1.00,NULL,NULL,NULL,NULL,NULL
630707.0,TURBO,1350.00,1.00,NULL,NULL,NULL,NULL,NULL
630708.0,TURBO,750.00,1.00,NULL,NULL,NULL,NULL,NULL
630709.0,TURBO,700.00,1.00,NULL,NULL,NULL,NULL,NULL
630762.0,COMPRESOR CLIMA,550.00,1.00,NULL,NULL,NULL,NULL,NULL
630763.0,COMPRESOR CLIMA,550.00,1.00,NULL,NULL,NULL,NULL,NULL
631486.0,ARIPA SPATE DREAPTA,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630975.0,CAPOTA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630714.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630715.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630716.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630766.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630767.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630768.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630769.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630976.0,CAPOTA,500.00,1.00,NULL,NULL,NULL,NULL,NULL
630771.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630723.0,TURBO,900.00,1.00,NULL,NULL,NULL,NULL,NULL
630724.0,TURBO,1125.00,1.00,NULL,NULL,NULL,NULL,NULL
630772.0,COMPRESOR CLIMA,600.00,1.00,NULL,NULL,NULL,NULL,NULL
630726.0,TURBO,700.00,1.00,NULL,NULL,NULL,NULL,NULL
630773.0,COMPRESOR CLIMA DEFECT,1.00,1.00,NULL,NULL,NULL,NULL,NULL
