ID,ID_UM_MINIMA,COD_INTERN,DENUMIRE,PRET_LISTA,PRET_VANZ_MAG,GRAMAJ_UNITATEA_MINIMA,ORDINE_AFISARE,XDISC_PROMO,XTVA,XADAOS,PRODUS_ACTIV,ACOPERIRE,COD_BARE,COMENT,EXPL,PRET_LISTA_EURO,PAGINA_CATALOG,LINK_DISK,FIELD_1,FIELD_2,STOC_COMANDAT_CLN,STOC_COMANDAT_FUR,STOC_CURENT,STOC_REZERVAT,STOC_ASIGURAT,PARENT_ID,SOURCE_ID
630452,4,200187,MOTOR,1890,1890,0,999999999,0,24,0,1,0,630452,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630374,94
630453,4,200188,MOTOR,1395,1395,0,999999999,0,24,0,1,0,630453,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630375,94
630454,4,200189,MOTOR,1440,1440,0,999999999,0,24,0,1,0,630454,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630376,94
630656,4,cod nou751,FORD FOCUS C-MAX 1.6 TDCi (75),0,0,0,999999999,0,24,0,1,18,630656,NULL,"2003, 1560CC, 80KW, 109CP, WF0MXXGCDM3U04547",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630456,4,200191,MOTOR,1620,1620,0,999999999,0,24,0,1,0,630456,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630384,94
630457,4,200192,MOTOR,1620,1620,0,999999999,0,24,0,1,0,630457,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630386,94
630458,4,200193,MOTOR,1620,1620,0,999999999,0,24,0,1,0,630458,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630409,94
630459,4,200194,MOTOR,1620,1620,0,999999999,0,24,0,1,0,630459,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630388,94
630460,4,200195,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630460,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630390,94
630461,4,200196,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630461,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630411,94
630462,4,200197,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630462,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630394,94
630463,4,200198,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630463,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630391,94
630464,4,200199,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630464,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630392,94
630465,4,200200,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630465,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630326,82
630466,4,200201,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630466,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630331,82
630467,4,200202,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630467,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630332,82
630468,4,200203,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630468,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630333,82
630469,4,200204,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630469,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630337,82
630470,4,200205,OGLINDA RETROVIZOARE,50,50,0,999999999,0,24,0,1,0,630470,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630410,82
